CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"40312","NS06NE 5","Bute, Cnoc An Rath","Earthwork (Period Unassigned), Tomb (19th Century)","205363","667274","ARGYLL AND BUTE","BUTESHIRE","NORTH BUTE","NS 05363 67274","http://canmore.org.uk/site/40312",
"40872","NS20SE 21","Maxwellston","Enclosure (Period Unassigned)","225990","600820","SOUTH AYRSHIRE","AYRSHIRE","DAILLY","NS 25990 00820","http://canmore.org.uk/site/40872",
"40907","NS20SW 27","Cairnhill Bridge","Ring Ditch (Period Unassigned)","223300","600020","SOUTH AYRSHIRE","AYRSHIRE","DAILLY","NS 2330 0002","http://canmore.org.uk/site/40907",
"41584","NS31NE 6","Lindston","Henge (Neol/bronze Age)(Possible)","237220","616790","SOUTH AYRSHIRE","AYRSHIRE","DALRYMPLE (KYLE AND CARRICK)","NS 3722 1679","http://canmore.org.uk/site/41584",
"44173","NS56NW 15","Shiels","Settlement (Period Unassigned)","252330","666760","GLASGOW, CITY OF","LANARKSHIRE","GOVAN (CITY OF GLASGOW)","NS 5233 6676","http://canmore.org.uk/site/44173",
"47370","NS92NW 15","Hillend","Enclosure (Period Unassigned), Pit(S) (Period Unassigned), Settlement (Period Unassigned), Unidentified Pottery (Neolithic)","294350","627960","SOUTH LANARKSHIRE","LANARKSHIRE","WISTON AND ROBERTON","NS 9435 2796","http://canmore.org.uk/site/47370",
"47719","NS94SW 5","Corbiehall","Cropmark(S) (Period Unknown), Enclosure (Period Unassigned), Henge (Neol/bronze Age)(Possible), Ring Ditch (Period Unassigned)","292869","644903","SOUTH LANARKSHIRE","LANARKSHIRE","CARSTAIRS","NS 92869 44903","http://canmore.org.uk/site/47719",
"48674","NT03NW 43","Bizzyberry Hill","Enclosure (Period Unassigned)","304900","639300","SOUTH LANARKSHIRE","LANARKSHIRE","BIGGAR","NT 049 393","http://canmore.org.uk/site/48674",
"48698","NT03NW 63","Balwaistie","Henge (Neol/bronze Age)","304010","639270","SOUTH LANARKSHIRE","LANARKSHIRE","BIGGAR","NT 0401 3927","http://canmore.org.uk/site/48698",
"48884","NT04NW 28","Windy Gate","Enclosure (Period Unassigned)","300180","648560","SOUTH LANARKSHIRE","LANARKSHIRE","CARNWATH","NT 0018 4856","http://canmore.org.uk/site/48884",
"51098","NT19SE 9","Lumphinnans","Henge (Neol/bronze Age)(Possible)","317433","692523","FIFE","FIFE","BALLINGRY","NT 17433 92523","http://canmore.org.uk/site/51098",
"54582","NT45SE 15","Airhouse","Findspot, Anvil, Armlet, Arrowhead(S), Axehead(S), Bead, Hammer, Perforated Object (Stone), Spearhead, Spindle Whorl(S)","347930","653690","SCOTTISH BORDERS, THE","BERWICKSHIRE","CHANNELKIRK","NT 4793 5369","http://canmore.org.uk/site/54582",
"57172","NT63NW 19","Mellerstain Mill","Henge (Neol/bronze Age)(Possible)","364900","637800","SCOTTISH BORDERS, THE","BERWICKSHIRE","EARLSTON","NT 649 378","http://canmore.org.uk/site/57172",
"57797","NT67SE 4","Black Loch","Settlement (Period Unassigned)","366737","673084","EAST LOTHIAN","EAST LOTHIAN","SPOTT (EAST LOTHIAN)","NT 66737 73084","http://canmore.org.uk/site/57797",
"58932","NT77SW 29","Thurston Mains","Settlement (Period Unassigned)","370350","673070","EAST LOTHIAN","EAST LOTHIAN","INNERWICK (EAST LOTHIAN)","NT 70350 73070","http://canmore.org.uk/site/58932",
"60211","NT96SW 23","Aytonlaw","Linear Feature(S) (Period Unassigned), Settlement (Prehistoric)","390435","661768","SCOTTISH BORDERS, THE","BERWICKSHIRE","AYTON","NT 90435 61768","http://canmore.org.uk/site/60211",
"64017","NX65NE 6","Park, Tongland","Cremation Cemetery (Prehistoric), Kerb Cairn (Prehistoric)","269960","556090","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","TONGLAND","NX 6996 5609","http://canmore.org.uk/site/64017",
"65269","NX89SE 35","Kirkland","Cropmark(S) (Period Unknown), Henge (Neol/bronze Age)(Possible)","287722","593072","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","CLOSEBURN","NX 87722 93072","http://canmore.org.uk/site/65269",
"65421","NX96NE 19","Woodside","Ring Ditch (Period Unassigned)","297541","568717","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","TROQUEER (KIRKCUDBRIGHTSHIRE)","NX 97541 68717","http://canmore.org.uk/site/65421",
"65932","NX98SW 46","Dalswinton Roads","Ring Ditch (Period Unassigned)","294202","584343","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","KIRKMAHOE","NX 94202 84343","http://canmore.org.uk/site/65932",
"65933","NX98SW 47","Dalswinton Roads","Pit Alignment(S) (Prehistoric)","294202","584329","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","KIRKMAHOE","NX 94202 84329","http://canmore.org.uk/site/65933",
"83950","NC60NW 65","Baddhu","Henge (Neol/bronze Age)(Possible)","260470","906950","HIGHLAND","SUTHERLAND","LAIRG","NC 6047 0695","http://canmore.org.uk/site/83950",
"85832","NS20NW 27","Broadshean","Henge (Neol/bronze Age)(Possible)","224331","606744","SOUTH AYRSHIRE","AYRSHIRE","KIRKOSWALD","NS 24331 06744","http://canmore.org.uk/site/85832",
"88369","NO30NW 138","Pitlessie","Barrow (Prehistoric)(Possible), Cropmark(S) (Period Unknown), Henge (Neol/bronze Age)(Possible), Rig And Furrow (Medieval)","333813","709557","FIFE","FIFE","CULTS","NO 33813 09557","http://canmore.org.uk/site/88369",
"88982","NO88SW 27","Muirtown Of Barras","Henge (Neol/bronze Age)(Possible), Ring Ditch (Period Unassigned)(Possible)","383720","781510","ABERDEENSHIRE","KINCARDINESHIRE","KINNEFF","NO 8372 8151","http://canmore.org.uk/site/88982",
"90603","NT86SW 44","Marygold","Henge (Neol/bronze Age)(Possible)","381229","660001","SCOTTISH BORDERS, THE","BERWICKSHIRE","BUNKLE AND PRESTON","NT 81229 60001","http://canmore.org.uk/site/90603",
"109413","NR89SW 53","Dunadd","Cursus (Neolithic), Long Barrow (Neolithic)","184531","693380","ARGYLL AND BUTE","ARGYLL","KILMICHAEL GLASSARY","NR 84531 93380","http://canmore.org.uk/site/109413",
"110925","NY16NW 63","Cummertrees","Cropmark (Period Unknown), Henge (Neol/bronze Age)(Possible)","314617","566347","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","CUMMERTREES","NY 14617 66347","http://canmore.org.uk/site/110925",
"119848","NO20SE 169","Glenrothes, 'henge'","Sculpture (20th Century)","327100","701000","FIFE","FIFE","MARKINCH","NO 271 010","http://canmore.org.uk/site/119848",
"128026","NS21SW 16","Culzean Castle Policies, High Whiteside","Henge (Neol/bronze Age)(Possible), Linear Feature(S) (Period Unassigned), Ring Ditch (Period Unassigned)","224348","610297","SOUTH AYRSHIRE","AYRSHIRE","KIRKOSWALD","NS 24348 10297","http://canmore.org.uk/site/128026",
"143392","NO64NW 107","Balneaves Cottage","Enclosure (Period Unassigned)","360989","749460","ANGUS","ANGUS","KINNELL","NO 60989 49460","http://canmore.org.uk/site/143392",
"147646","NT32NE 21","Lewenshope","Cropmark(S) (Period Unknown), Henge (Neolithic)(Possible)","339340","629700","SCOTTISH BORDERS, THE","SELKIRKSHIRE","YARROW","NT 3934 2970","http://canmore.org.uk/site/147646",
"152655","NJ41SW 195","Cushlachie","Enclosure (Period Unassigned)","344110","812180","ABERDEENSHIRE","ABERDEENSHIRE","TOWIE","NJ 4411 1218","http://canmore.org.uk/site/152655",
"157510","NS33NE 53","Holms","Henge (Neol/bronze Age)","235927","636984","NORTH AYRSHIRE","AYRSHIRE","DUNDONALD (CUNNINGHAME)","NS 35927 36984","http://canmore.org.uk/site/157510",
"165692","NH85SE 89","Howford Bridge","Henge (Neol/bronze Age)(Possible), Ring Ditch (Period Unassigned)","287900","854000","HIGHLAND","NAIRN","NAIRN","NH 879 540","http://canmore.org.uk/site/165692",
"201551","NO14SE 135","Mains Of Pittendriech","Henge (Neol/bronze Age), Rig And Furrow (Medieval)","315482","741883","PERTH AND KINROSS","PERTHSHIRE","LETHENDY","NO 15482 41883","http://canmore.org.uk/site/201551",
"265093","NK06SW 70","Mains Of Cairnbulg","Cropmark(S) (Period Unknown), Enclosure(S) (Period Unassigned), Henge (Neol/bronze Age)(Possible), Ring Ditch(S) (Period Unassigned)","402140","863770","ABERDEENSHIRE","ABERDEENSHIRE","RATHEN","NK 0214 6377","http://canmore.org.uk/site/265093",
"278305","NH74SE 47","Clava Cairns","General View","276000","844000","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 760 440","http://canmore.org.uk/site/278305",
"296093","NG44SE 130","Portree, Home Farm","Henge (Neol/bronze Age)(Possible), Pit(S) (Period Unassigned), Roundhouse (Prehistoric), Structure (Period Unassigned)(Possible), Lithic Implement(S), Unidentified Pottery(S) (Bronze Age)","147600","844400","HIGHLAND","INVERNESS-SHIRE","PORTREE","NG 476 444","http://canmore.org.uk/site/296093",
"298096","NR61NE 48","Marchfield","Henge (Neol/bronze Age)(Possible)","169061","619308","ARGYLL AND BUTE","ARGYLL","CAMPBELTOWN","NR 69061 19308","http://canmore.org.uk/site/298096",
"307249","HY31NW 114","Staney Hill","Henge (Neol/bronze Age)","332200","1015650","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 3220 1565","http://canmore.org.uk/site/307249",
"352240","NO01NE 246","Forteviot","Henge","305297","717298","PERTH AND KINROSS","PERTHSHIRE","FORTEVIOT","NO 05297 17298","http://canmore.org.uk/site/352240",
